id|schedule|cats|family_id|n|metrics|units|ptypes|yrs|title
a5645464-a1be-4d20-a8e4-cb2849692fb9|nightly|sonstiges||563|8|city,ortsteil|year||Kindertageseinrichtungen in öffentlicher oder freier Trägerschaft na
e94e64b8-bd19-48b5-b181-2a3e43300121|nightly|regierung-und-oeffentlicher-sektor;wirtschaft-und-finanzen||431|4|ortsteil|year|2023-2025|Stadtbezirksbudget
00b28e50-ff57-4f5c-883e-6c41a0c9089a|nightly|regierung-und-oeffentlicher-sektor||361|7|ortsteil|year||Landtagswahl 2024: Straßenabschnittsverzeichnis
105257c2-5112-436b-a175-cccf2e85c8ca|nightly|regierung-und-oeffentlicher-sektor||361|7|ortsteil|year||Bundestagswahl 2025: Straßenabschnittsverzeichnis
efcbc626-5bb4-466a-9a19-e2f19cdd701c|nightly|sonstiges||258|4|city,ortsteil|year||Zu- und Wegzüge ukrainischer Personen nach/von Leipzig im Jahr 2022
4ae3ee79-56ea-4d67-bf3c-dd4c6d8fddc1|nightly|sonstiges||252|4|ortsteil|year||Relative Entwicklung der Einwohnerzahl nach Ortsteilen
f85a6b33-6557-4bb7-9f86-15b03266f537|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||245|5|ortsteil|year|1994-1994|Ergebnisse Landtagswahl seit 1994 (Wahlbezirke)
fa437fdf-a738-4d79-a87c-1dfdb1f95d31|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||245|5|ortsteil|year|1994-1994|Ergebnisse Bundestagswahl seit 1994 (Wahlbezirke)
8e5c90e3-e0c3-4a87-966b-f18adb6748c3|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||245|5|ortsteil|year|1994-1994|Ergebnisse Stadtratswahl seit 1994 (Wahlbezirke)
d1afb566-aa9a-4e86-93e4-c229e1cd7b98|live|bevoelkerung-und-gesellschaft||203|24|city|year|2010-2019|Probleme aus Bürgersicht (Jahreszahlen)
176bf6ce-df09-4e96-899f-4953da9829a8|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||196|4|ortsteil|year|1994-1994|Ergebnisse Oberbürgermeisterwahl seit 1994 (Wahlbezirke)
e8d2acc7-a2e8-4781-93d4-5b739c1c8c34|nightly|sonstiges||191|3|ortsteil|year||Versorgungsgrad an Plätzen in Kindertageseinrichtungen
e1b381f0-4b57-4f0d-86cd-a4bb423894da|live|regionen-und-staedte||187|3|ortsteil|year||Kommunale Gebietsgliederung Leipzig: Adressen
0ba3c1ff-400c-4fd2-ab18-fc2f7adc18e8|nightly|bevoelkerung-und-gesellschaft||182|8|city|year|1998-2021|Lebenserwartung
d16ca9e9-45a0-4ab4-9932-8c247379271c|nightly|bevoelkerung-und-gesellschaft;internationale-themen||150|5|city|year||Wanderungssaldo nach Herkunfts- und Zielgebieten
79b229cd-7d4b-49e2-ae16-4a0584610ee9|nightly|sonstiges||147|3|ortsteil|year|1994-1994|Ergebnisse Landtagswahl seit 1994 (Ortsteile)
cb64fb2b-99bc-48de-95ed-16e12ca1dbfe|nightly|sonstiges||144|3|ortsteil|year|1994-1994|Ergebnisse Bundestagswahl seit 1994 (Ortsteile)
cb93c96e-1532-4b0e-ad43-c79e70833a56|nightly|sonstiges||127|7|city|year|2011-2040|Prognostizierte und tatsächliche Bevölkerungsentwicklung
894b8062-e56f-4a2f-84c5-ba62a5cb0d2a|nightly|bevoelkerung-und-gesellschaft;internationale-themen||126|9|city|year|2009-2022|Wanderungssaldo nach Zielgebiet, Herkunftsgebiet und Staatsbürgersch
46d7d322-9ee6-4666-bf04-d10d2fe8d965|nightly|sonstiges||120|2|ortsteil|year|1999-1999|Ergebnisse Stadtratswahl seit 1999 (Ortsteile)
b01f056d-d416-4a31-b351-a7ca58d1f9d9|nightly|sonstiges||116|2|ortsteil|year||Übersicht allgemeinbildende Schulen in Leipzig mit Adressen Schuljah
b0c060f9-1cd5-4fe3-8611-177e830f787e|nightly|sonstiges||98|2|ortsteil|year|1994-1994|Ergebnisse Oberbürgermeisterwahl seit 1994 (Ortsteile)
2ffe1ab8-b752-46d2-bb6d-057698724ac9|nightly|energie;regierung-und-oeffentlicher-sektor;umwelt||85|5|ortsteil|year||Öffentliche Toiletten, Stadt Leipzig
68a48da4-9fa1-4c63-97c7-c597322a81f1|nightly|sonstiges||74|8|city|year|2012-2021|LWB-Angebotsmieten nach Baualtersklassen
d8f5240e-8772-4d51-a211-b1d231c83702|nightly|sonstiges||71|18|city|year|2012-2022|Personal in Kindertageseinrichtungen in öffentlicher oder freier Trä
425b6d75-fac7-414d-bf53-454bb1de4838|nightly|sonstiges||63|1|ortsteil|year|2004-2004|Ergebnisse Europawahl seit 2004 (Ortsteile)
