name,created,description,formats
"Stadtbezirksbudget, Stadt Leipzig",2026-05-05 19:03:52.384629,Der Datensatz enthält die folgenden Informationen über aus dem Stadtbezirksbudget geförderte Projekte und Vorschläge seit 2023. Mit der Einführung von Stadtbezirksbudgets möchte die Stadt Leipzig Partizipation und Mitwirkung der Bürgerschaft weiter stärken. Jeder Stadtbezirksbeirat verfügt über ein eigenes Budget in Höhe von 55.000 Euro pro Jahr. Damit können Ideen und Vorhaben vor Ort direkt unterstützt werden. Das Stadtbezirksbudget unterliegt der Jährlichkeit. Anträge können online vom 01. November des Vorjahres bis zum 31. August des Haushaltsjahres unter http://www.leipzig.de/stadtbezirksbudget gestellt werden. Die zehn Stadtbezirksbeiräte entscheiden in der Regel in ihren monatlich stattfindenden Sitzungen über die vorliegenden Anträge. In den Datensatz gehen monatlich alle beschlossenen Anträge zum Stadtbezirksbudget ein. In dem Datensatz sind nur die Stadtbezirke ohne die Gebiete der 14 eingemeindeten Ortschaften enthalten. Für die eingemeindeten Ortschaften stehen anstatt des Stadtbezirksbudget – Brauchtumsmittel zur Verfügung. Mehr Informationen hierzu unter http://www.leipzig.de/ortschaftsrat.,WFS
Geo-Koordinaten der Haltestellen Schulfahrplan Fahrbibliothek,2015-04-28 13:30:30.218090,"geografische Lage der Haltestellen der Fahrbibliothek an Leipziger Schulen, Koordinaten nach Gauß-Krüger, in Dezimalgrad und UTM (gülzig für das 1. Halbjahr 2026)",CSV
Geo-Koordinaten der Haltestellen Fahrbibliothek,2015-04-28 13:23:16.849156,"geografische Lage der Haltestellen der Fahrbibliothek, Koordinaten in UTM33 und ETRS89",CSV
"Luftreinhalteplan-Prognose Straße 2025, Stadt Leipzig",2026-04-29 19:03:11.365463,"Die Daten zeigen die Jahresmittelwerte der Gesamtbelastung mit Feinstaub (PM10) und Stickstoffdioxid prognostiziert für das Jahr 2025 in einer Höhe von 1,5 Meter über Grund. Die Konzentration an der Straße gilt für den Bereich vorhandener Randbebauung. Ohne Randbebauung bezieht sich die Konzentrationen auf einen Abstand von 11 Meter von der Straßenmitte. Die Daten visualisieren den Stand der Luftqualität unter Berücksichtigung der Maßnahmen des Luftreinhalteplans der Stadt Leipzig sowie weiterer Maßnahmen entsprechend dem Nationalen Luftreinhalteprogramm der Bundesregierung interpoliert auf das Jahr 2025.","CSV, GEOJSON, GPKG, WFS"
Oberbürgermeisterwahlen (kleinräumig),2026-04-30 19:03:16.136401,Kleinräumige Wahlergebnisse der Oberbürgermeisterwahlen in den Ortsteilen und Stadtbezirken.,"CSV, JSON"
Namensvorschläge Straßenbenennungen,2026-04-02 11:34:30.723007,Liste der Namensvorschläge für Straßenbenennungen mit Informationen zu Lebensdaten der Personen und Informationen zu den Urhebern der Namensvorschläge.,"CSV, XLSX"
Ergebnisse Oberbürgermeisterwahl seit 1994 (Ortsteile),2026-01-14 07:46:24.821075,"Harmonisiertie Wahlergebnisse der Oberbürgermeisterwahlen in Leipzig seit 1994 auf Ebene der Ortsteile.  
'Partei_ID_StatAmtLE' beinhaltet eine vom Amt für Wahlen und Statistik festgelegte wahlübergreifende Partei-ID. Das Parteienverzeichnis kann unterfolgender URL aufgerufen werden: https://opendata.leipzig.de/dataset/parteienverzeichnis-statamtleipzig   
'Parteiname_harmonisiert_vx_y' beinhaltet die zur Partei-ID zugehörige Kurzbezeichnung der Partei in Version x.y.",CSV
"Dauerzählstellen Radverkehr- Gesamtanzahl der Fahrräder pro Tag der letzten 2 Jahre, Stadt Leipzig",2024-07-17 11:15:25.509386,Gesamtanzahl der erfassten Fahrräder an den Dauerzählstellen Radverkehr im Stadtgebiet Leipzig. Im Datensatz werden die Zählungen pro Tag aggregiert und für die letzten 2 Jahre bis einschließlich Gestern vorgehalten.,"CSV, GEOJSON, GPKG, WFS"
"Dauerzählstellen Radverkehr - Gesamtanzahl der Fahrräder pro Stunde der letzten 31 Tage, Stadt Leipzig",2024-07-17 11:15:25.727869,Gesamtanzahl der erfassten Fahrräder an den Dauerzählstellen Radverkehr im Stadtgebiet Leipzig. Im Datensatz werden die Zählungen pro Stunde und für die letzten 31 Tage bis einschließlich Gestern vorgehalten.,"CSV, GEOJSON, WFS"
"Dauerzählstellen Radverkehr - Standorte, Stadt Leipzig",2024-07-17 11:15:25.250727,Standorte der Radverkehr Dauererzählstellen im Stadtgebiet Leipzig.,"CSV, GEOJSON, GPKG, WFS"
"Luftqualität - Jahresmittelwerte NO2-Passivsammler, Stadt Leipzig",2026-04-29 19:03:11.639286,Die Daten zeigen die Jahresmittelwerte der Gesamtbelastung mit Stickstoffdioxid (NO2) in den Jahren 2021 bis 2023 an verschiedenen Messorten in Leipzig.,"CSV, GEOJSON, GPKG, WFS"
"Luftqualität - Monatsmittelwerte NO2-Passivsammler, Stadt Leipzig",2026-04-29 19:03:11.105482,Die Daten zeigen die Monatsmittelwert der Gesamtbelastung mit Stickstoffdioxid (NO2) in den Jahren 2021 bis 2023 an verschiedenen Messorten in Leipzig.,"CSV, GEOJSON, GPKG, WFS"
"Luftqualität - Luftreinhaltemaßnahmen, Stadt Leipzig",2026-04-29 19:03:10.418241,In dem Datensatz sind die raumbezogenen Maßnahmen aus dem Luftreinhalteplan der Stadt Leipzig (Fortschreibung 2018) enthalten. Die Maßnahmen sind in der interaktiven Karte zu den Modelldaten zur Luftqualität der Stadt Leipzig visualisiert.,"CSV, GEOJSON, GPKG, WFS"
Fahrplan der Fahrbibliothek für Schulen,2015-04-28 15:23:57.410773,"Fahrplan und Haltestellen der Fahrbibliothek an Leipziger Schulen, Januar bis August 2023",CSV
Geo-Koordinaten der Bibliotheken,2015-03-02 15:29:05.889745,"geografische Lage der Städtischen Bibliotheken, Koordinaten nach UTM33 und ETRS89",CSV
Kontaktdaten und Öffnungszeiten der Bibliotheken,2015-03-02 13:58:17.228386,"Tabelle der Städtischen Bibliotheken mit Adresse, Telefon, E-Mail, Website, Öffnungszeiten",CSV
Ankünfte und Übernachtungen (Quartalszahlen),2023-09-26 12:20:00.126388,"Daten zu den Ankünften, Übernachtungen und der Aufenthaltsdauer in den Beherbergungsbetrieben.","CSV, JSON"
Ankünfte und Übernachtungen (Jahreszahlen),2023-09-26 12:19:53.057291,"Daten zu den Ankünften, Übernachtungen und der Aufenthaltsdauer in den Beherbergungsbetrieben.","CSV, JSON"
Fahrplan der Fahrbibliothek,2015-04-28 15:13:08.936628,"Fahrplan der Fahrbibliothek, Haltestellen und Standzeiten für A-Woche und B-Woche, 1. Halbjahr 2026",CSV
