boundary_type,code,name,parent_code
ortsteil,00,Zentrum,0
ortsteil,01,Zentrum-Ost,0
ortsteil,02,Zentrum-Südost,0
ortsteil,03,Zentrum-Süd,0
ortsteil,04,Zentrum-West,0
ortsteil,05,Zentrum-Nordwest,0
ortsteil,06,Zentrum-Nord,0
ortsteil,10,Schönefeld-Abtnaundorf,1
ortsteil,11,Schönefeld-Ost,1
ortsteil,12,Mockau-Süd,1
ortsteil,13,Mockau-Nord,1
ortsteil,14,Thekla,1
ortsteil,15,Plaußig-Portitz,1
ortsteil,20,Neustadt-Neuschönefeld,2
ortsteil,21,Volkmarsdorf,2
ortsteil,22,Anger-Crottendorf,2
ortsteil,23,Sellerhausen-Stünz,2
ortsteil,24,Paunsdorf,2
ortsteil,25,Heiterblick,2
ortsteil,26,Mölkau,2
ortsteil,27,Engelsdorf,2
ortsteil,28,Baalsdorf,2
ortsteil,29,Althen-Kleinpösna,2
ortsteil,30,Reudnitz-Thonberg,3
ortsteil,31,Stötteritz,3
ortsteil,32,Probstheida,3
ortsteil,33,Meusdorf,3
ortsteil,34,Liebertwolkwitz,3
ortsteil,35,Holzhausen,3
ortsteil,40,Südvorstadt,4
ortsteil,41,Connewitz,4
ortsteil,42,Marienbrunn,4
ortsteil,43,Lößnig,4
ortsteil,44,Dölitz-Dösen,4
ortsteil,50,Schleußig,5
ortsteil,51,Plagwitz,5
ortsteil,52,Kleinzschocher,5
ortsteil,53,Großzschocher,5
ortsteil,54,Knautkleeberg-Knauthain,5
ortsteil,55,Hartmannsdorf-Knautnaundorf,5
ortsteil,60,Schönau,6
ortsteil,61,Grünau-Ost,6
ortsteil,62,Grünau-Mitte,6
ortsteil,63,Grünau-Siedlung,6
ortsteil,64,Lausen-Grünau,6
ortsteil,65,Grünau-Nord,6
ortsteil,66,Miltitz,6
ortsteil,70,Lindenau,7
ortsteil,71,Altlindenau,7
ortsteil,72,Neulindenau,7
ortsteil,73,Leutzsch,7
ortsteil,74,Böhlitz-Ehrenberg,7
ortsteil,75,Burghausen-Rückmarsdorf,7
ortsteil,80,Möckern,8
ortsteil,81,Wahren,8
ortsteil,82,Lützschena-Stahmeln,8
ortsteil,83,Lindenthal,8
ortsteil,90,Gohlis-Süd,9
ortsteil,91,Gohlis-Mitte,9
ortsteil,92,Gohlis-Nord,9
ortsteil,93,Eutritzsch,9
ortsteil,94,Seehausen,9
ortsteil,95,Wiederitzsch,9
stadtbezirk,0,Mitte,
stadtbezirk,1,Nordost,
stadtbezirk,2,Ost,
stadtbezirk,3,Südost,
stadtbezirk,4,Süd,
stadtbezirk,5,Südwest,
stadtbezirk,6,West,
stadtbezirk,7,Alt-West,
stadtbezirk,8,Nordwest,
stadtbezirk,9,Nord,
