spatial_code,gebiet_name,party,zweitstimmen,gueltige_zweit,wahlberechtigte,waehler
00,Zentrum,AfD,110,813,1235,813
00,Zentrum,BSW,72,813,1235,813
00,Zentrum,CDU,163,813,1235,813
00,Zentrum,DIE LINKE,73,813,1235,813
00,Zentrum,Die PARTEI,26,813,1235,813
00,Zentrum,FDP,63,813,1235,813
00,Zentrum,GRÜNE,124,813,1235,813
00,Zentrum,Liste 10,1,813,1235,813
00,Zentrum,Liste 12,4,813,1235,813
00,Zentrum,Liste 14,10,813,1235,813
00,Zentrum,Liste 15,0,813,1235,813
00,Zentrum,Liste 16,7,813,1235,813
00,Zentrum,Liste 17,1,813,1235,813
00,Zentrum,Liste 18,0,813,1235,813
00,Zentrum,Liste 19,3,813,1235,813
00,Zentrum,Liste 20,2,813,1235,813
00,Zentrum,Liste 21,1,813,1235,813
00,Zentrum,Liste 22,2,813,1235,813
00,Zentrum,Liste 23,1,813,1235,813
00,Zentrum,Liste 24,0,813,1235,813
00,Zentrum,Liste 25,0,813,1235,813
00,Zentrum,Liste 26,1,813,1235,813
00,Zentrum,Liste 27,2,813,1235,813
00,Zentrum,Liste 29,0,813,1235,813
00,Zentrum,Liste 30,1,813,1235,813
00,Zentrum,Liste 31,5,813,1235,813
00,Zentrum,Liste 32,2,813,1235,813
00,Zentrum,Liste 33,7,813,1235,813
00,Zentrum,Liste 34,2,813,1235,813
00,Zentrum,Liste 7,8,813,1235,813
00,Zentrum,Liste 9,12,813,1235,813
00,Zentrum,NPD,0,813,1235,813
00,Zentrum,SPD,73,813,1235,813
00,Zentrum,Volt,37,813,1235,813
01,Zentrum-Ost,AfD,346,3210,4507,3222
01,Zentrum-Ost,BSW,274,3210,4507,3222
01,Zentrum-Ost,CDU,511,3210,4507,3222
01,Zentrum-Ost,DIE LINKE,323,3210,4507,3222
01,Zentrum-Ost,Die PARTEI,148,3210,4507,3222
01,Zentrum-Ost,FDP,193,3210,4507,3222
01,Zentrum-Ost,GRÜNE,555,3210,4507,3222
01,Zentrum-Ost,Liste 10,9,3210,4507,3222
01,Zentrum-Ost,Liste 12,12,3210,4507,3222
01,Zentrum-Ost,Liste 14,34,3210,4507,3222
01,Zentrum-Ost,Liste 15,4,3210,4507,3222
01,Zentrum-Ost,Liste 16,17,3210,4507,3222
01,Zentrum-Ost,Liste 17,5,3210,4507,3222
01,Zentrum-Ost,Liste 18,9,3210,4507,3222
01,Zentrum-Ost,Liste 19,22,3210,4507,3222
01,Zentrum-Ost,Liste 20,2,3210,4507,3222
01,Zentrum-Ost,Liste 21,1,3210,4507,3222
01,Zentrum-Ost,Liste 22,1,3210,4507,3222
01,Zentrum-Ost,Liste 23,1,3210,4507,3222
01,Zentrum-Ost,Liste 24,1,3210,4507,3222
01,Zentrum-Ost,Liste 25,0,3210,4507,3222
01,Zentrum-Ost,Liste 26,5,3210,4507,3222
01,Zentrum-Ost,Liste 27,12,3210,4507,3222
01,Zentrum-Ost,Liste 29,1,3210,4507,3222
01,Zentrum-Ost,Liste 30,6,3210,4507,3222
01,Zentrum-Ost,Liste 31,36,3210,4507,3222
01,Zentrum-Ost,Liste 32,3,3210,4507,3222
01,Zentrum-Ost,Liste 33,25,3210,4507,3222
01,Zentrum-Ost,Liste 34,10,3210,4507,3222
01,Zentrum-Ost,Liste 7,40,3210,4507,3222
01,Zentrum-Ost,Liste 9,68,3210,4507,3222
01,Zentrum-Ost,NPD,0,3210,4507,3222
01,Zentrum-Ost,SPD,331,3210,4507,3222
01,Zentrum-Ost,Volt,205,3210,4507,3222
02,Zentrum-Südost,AfD,745,6517,9325,6555
02,Zentrum-Südost,BSW,622,6517,9325,6555
02,Zentrum-Südost,CDU,846,6517,9325,6555
02,Zentrum-Südost,DIE LINKE,783,6517,9325,6555
02,Zentrum-Südost,Die PARTEI,284,6517,9325,6555
02,Zentrum-Südost,FDP,282,6517,9325,6555
02,Zentrum-Südost,GRÜNE,1085,6517,9325,6555
02,Zentrum-Südost,Liste 10,22,6517,9325,6555
02,Zentrum-Südost,Liste 12,37,6517,9325,6555
02,Zentrum-Südost,Liste 14,60,6517,9325,6555
02,Zentrum-Südost,Liste 15,3,6517,9325,6555
02,Zentrum-Südost,Liste 16,78,6517,9325,6555
02,Zentrum-Südost,Liste 17,16,6517,9325,6555
02,Zentrum-Südost,Liste 18,14,6517,9325,6555
02,Zentrum-Südost,Liste 19,74,6517,9325,6555
02,Zentrum-Südost,Liste 20,4,6517,9325,6555
02,Zentrum-Südost,Liste 21,12,6517,9325,6555
02,Zentrum-Südost,Liste 22,8,6517,9325,6555
02,Zentrum-Südost,Liste 23,8,6517,9325,6555
02,Zentrum-Südost,Liste 24,2,6517,9325,6555
02,Zentrum-Südost,Liste 25,1,6517,9325,6555
02,Zentrum-Südost,Liste 26,19,6517,9325,6555
02,Zentrum-Südost,Liste 27,30,6517,9325,6555
02,Zentrum-Südost,Liste 29,5,6517,9325,6555
02,Zentrum-Südost,Liste 30,19,6517,9325,6555
02,Zentrum-Südost,Liste 31,69,6517,9325,6555
02,Zentrum-Südost,Liste 32,8,6517,9325,6555
02,Zentrum-Südost,Liste 33,60,6517,9325,6555
02,Zentrum-Südost,Liste 34,19,6517,9325,6555
