spatial_code,gebiet_name,party,zweitstimmen,gueltige_zweit,wahlberechtigte,waehler
0,Mitte,AfD,3711,36605,48993,36779
0,Mitte,BSW,3322,36605,48993,36779
0,Mitte,CDU,5577,36605,48993,36779
0,Mitte,DIE LINKE,3628,36605,48993,36779
0,Mitte,Die PARTEI,1619,36605,48993,36779
0,Mitte,FDP,1812,36605,48993,36779
0,Mitte,GRÜNE,7248,36605,48993,36779
0,Mitte,Liste 10,137,36605,48993,36779
0,Mitte,Liste 12,188,36605,48993,36779
0,Mitte,Liste 14,299,36605,48993,36779
0,Mitte,Liste 15,22,36605,48993,36779
0,Mitte,Liste 16,273,36605,48993,36779
0,Mitte,Liste 17,87,36605,48993,36779
0,Mitte,Liste 18,64,36605,48993,36779
0,Mitte,Liste 19,218,36605,48993,36779
0,Mitte,Liste 20,50,36605,48993,36779
0,Mitte,Liste 21,33,36605,48993,36779
0,Mitte,Liste 22,24,36605,48993,36779
0,Mitte,Liste 23,21,36605,48993,36779
0,Mitte,Liste 24,6,36605,48993,36779
0,Mitte,Liste 25,12,36605,48993,36779
0,Mitte,Liste 26,101,36605,48993,36779
0,Mitte,Liste 27,150,36605,48993,36779
0,Mitte,Liste 29,16,36605,48993,36779
0,Mitte,Liste 30,76,36605,48993,36779
0,Mitte,Liste 31,346,36605,48993,36779
0,Mitte,Liste 32,34,36605,48993,36779
0,Mitte,Liste 33,296,36605,48993,36779
0,Mitte,Liste 34,99,36605,48993,36779
0,Mitte,Liste 7,333,36605,48993,36779
0,Mitte,Liste 9,529,36605,48993,36779
0,Mitte,NPD,20,36605,48993,36779
0,Mitte,SPD,4105,36605,48993,36779
0,Mitte,Volt,2149,36605,48993,36779
1,Nordost,AfD,6183,22248,36329,22529
1,Nordost,BSW,2742,22248,36329,22529
1,Nordost,CDU,4537,22248,36329,22529
1,Nordost,DIE LINKE,1734,22248,36329,22529
1,Nordost,Die PARTEI,713,22248,36329,22529
1,Nordost,FDP,554,22248,36329,22529
1,Nordost,GRÜNE,1377,22248,36329,22529
1,Nordost,Liste 10,222,22248,36329,22529
1,Nordost,Liste 12,70,22248,36329,22529
1,Nordost,Liste 14,133,22248,36329,22529
1,Nordost,Liste 15,9,22248,36329,22529
1,Nordost,Liste 16,108,22248,36329,22529
1,Nordost,Liste 17,125,22248,36329,22529
1,Nordost,Liste 18,27,22248,36329,22529
1,Nordost,Liste 19,67,22248,36329,22529
1,Nordost,Liste 20,38,22248,36329,22529
1,Nordost,Liste 21,14,22248,36329,22529
1,Nordost,Liste 22,17,22248,36329,22529
1,Nordost,Liste 23,13,22248,36329,22529
1,Nordost,Liste 24,3,22248,36329,22529
1,Nordost,Liste 25,13,22248,36329,22529
