spatial_code,ortsteil,dataset_id,metric_name,metric_value
00,Zentrum,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,94
00,Zentrum,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,11
00,Zentrum,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,54
00,Zentrum,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,609
00,Zentrum,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,1893
01,Zentrum-Ost,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,220
01,Zentrum-Ost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,79
01,Zentrum-Ost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,390
01,Zentrum-Ost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,1141
01,Zentrum-Ost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,6199
02,Zentrum-Südost,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,755
02,Zentrum-Südost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,212
02,Zentrum-Südost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,826
02,Zentrum-Südost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,5123
02,Zentrum-Südost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,15620
03,Zentrum-Süd,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,424
03,Zentrum-Süd,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,256
03,Zentrum-Süd,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,1134
03,Zentrum-Süd,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,1680
03,Zentrum-Süd,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,14297
04,Zentrum-West,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,332
04,Zentrum-West,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,259
04,Zentrum-West,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,981
04,Zentrum-West,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,1879
04,Zentrum-West,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,11599
05,Zentrum-Nordwest,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,306
05,Zentrum-Nordwest,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,203
05,Zentrum-Nordwest,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,1071
05,Zentrum-Nordwest,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,1184
05,Zentrum-Nordwest,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,11019
06,Zentrum-Nord,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,332
06,Zentrum-Nord,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,151
06,Zentrum-Nord,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,702
06,Zentrum-Nord,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,2289
06,Zentrum-Nord,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,9984
10,Schönefeld-Abtnaundorf,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,842
10,Schönefeld-Abtnaundorf,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,410
10,Schönefeld-Abtnaundorf,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,1272
10,Schönefeld-Abtnaundorf,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,3054
10,Schönefeld-Abtnaundorf,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,14052
11,Schönefeld-Ost,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,637
11,Schönefeld-Ost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,336
11,Schönefeld-Ost,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,747
11,Schönefeld-Ost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,2231
11,Schönefeld-Ost,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,10435
12,Mockau-Süd,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,259
12,Mockau-Süd,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,138
12,Mockau-Süd,aa01ad81-1060-48e9-84f2-8908287ecf5e,Familien insgesamt,398
12,Mockau-Süd,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Ausländer,1015
12,Mockau-Süd,dcc45e1a-11d1-4922-80c3-f49ba12863fb,Einwohner insgesamt,5008
13,Mockau-Nord,30943d88-4ac9-4968-84bc-35e9b337a85d,Arbeitslose insgesamt,553
13,Mockau-Nord,aa01ad81-1060-48e9-84f2-8908287ecf5e,Alleinerziehende insgesamt,298
